a->alucinogeno;andante;anteparo;
b->bugiganga;bagunça;beringela;
c->carrapato;cachorro;carro;
d->dinossalro;dados;dedeira;
e->embaralhado;embarcação;ensopado;
f->farmaceutico;filme;fantasma;
g->girocóptero;gato;girassol;
h->hidrocefalia;hipopotamo;halterofilismo;
i->igarapava;iogurte;idealismo;
j->jardineiro;jantar;jabiraca;
k->kiwi;karaoke;kimonos;
l->limosine;luva;lusitano;
m->madagascar;manga;mascate;
n->nimesulida;navio;nacionalidade;
o->onomatopéia;ornitorrinco;osso;
p->paralelepipedo;padre;padaria;
q->questionamento;quadridimensional;quadringentésimo;
r->racionalismo;ressuscitação;ribossomo;
s->saboneteira;sacarífero;sistematicamente;
t->tabernáculo;testosterona;turistas;
u->unicelular;ultrapassar;umidade;
v->vaca;varíola;veemência;
x->xarope;xavante;xadrez;
y->yahoo;yamaha;yorkshire;
w->webmaster;windows;workshop;
z->zangado;zangão;zebra;
